CMDLINE python ./analytickit/crypto/txn_anz.py
MEM 125.933594 1694611770.0913
MEM 125.933594 1694611770.1923
MEM 125.933594 1694611770.2938
MEM 125.933594 1694611770.3950
MEM 125.933594 1694611770.4963
MEM 125.933594 1694611770.5981
MEM 125.933594 1694611770.6992
MEM 125.933594 1694611770.7999
MEM 125.933594 1694611770.9012
MEM 125.933594 1694611771.0025
MEM 125.933594 1694611771.1032
MEM 125.933594 1694611771.2071
MEM 125.933594 1694611771.3085
MEM 125.933594 1694611771.4097
MEM 125.933594 1694611771.5108
MEM 125.933594 1694611771.6121
MEM 125.933594 1694611771.7138
MEM 125.933594 1694611771.8155
MEM 125.933594 1694611771.9179
MEM 125.933594 1694611772.0185
MEM 125.933594 1694611772.1194
MEM 125.933594 1694611772.2204
MEM 125.933594 1694611772.3220
MEM 125.933594 1694611772.4231
MEM 125.933594 1694611772.5243
MEM 125.933594 1694611772.6259
MEM 125.933594 1694611772.7272
MEM 125.933594 1694611772.8290
MEM 125.933594 1694611772.9307
MEM 125.933594 1694611773.0313
MEM 125.933594 1694611773.1324
MEM 125.933594 1694611773.2334
MEM 125.933594 1694611773.3346
MEM 125.933594 1694611773.4366
MEM 125.933594 1694611773.5381
MEM 125.933594 1694611773.6396
MEM 125.933594 1694611773.7412
MEM 125.933594 1694611773.8429
MEM 125.933594 1694611773.9443
MEM 125.933594 1694611774.0449
MEM 125.933594 1694611774.1453
MEM 125.933594 1694611774.2469
MEM 125.933594 1694611774.3473
MEM 125.933594 1694611774.4483
MEM 125.933594 1694611774.5491
MEM 125.933594 1694611774.6509
MEM 125.933594 1694611774.7521
MEM 125.933594 1694611774.8531
MEM 125.933594 1694611774.9540
MEM 125.933594 1694611775.0548
MEM 125.933594 1694611775.1556
MEM 125.933594 1694611775.2579
MEM 125.933594 1694611775.3582
MEM 125.933594 1694611775.4587
MEM 125.933594 1694611775.5598
MEM 125.933594 1694611775.6621
MEM 125.933594 1694611775.7628
MEM 125.933594 1694611775.8637
MEM 125.933594 1694611775.9658
MEM 125.933594 1694611776.0666
MEM 125.933594 1694611776.1674
MEM 125.933594 1694611776.2698
MEM 125.933594 1694611776.3729
MEM 125.933594 1694611776.4737
MEM 125.933594 1694611776.5747
MEM 125.933594 1694611776.6776
MEM 125.933594 1694611776.7785
MEM 125.933594 1694611776.8801
MEM 125.933594 1694611776.9808
MEM 125.933594 1694611777.0820
MEM 125.933594 1694611777.1824
MEM 125.933594 1694611777.2832
MEM 125.933594 1694611777.3848
MEM 125.933594 1694611777.4869
MEM 125.933594 1694611777.5885
MEM 125.933594 1694611777.6899
MEM 125.933594 1694611777.7908
MEM 125.933594 1694611777.8923
MEM 125.933594 1694611777.9933
MEM 125.933594 1694611778.0951
MEM 125.933594 1694611778.1965
MEM 125.933594 1694611778.2973
MEM 125.933594 1694611778.3986
MEM 125.933594 1694611778.4991
MEM 125.933594 1694611778.6008
MEM 125.933594 1694611778.7023
MEM 125.933594 1694611778.8033
MEM 125.933594 1694611778.9042
MEM 125.933594 1694611779.0063
MEM 125.933594 1694611779.1071
MEM 125.933594 1694611779.2092
MEM 125.933594 1694611779.3111
MEM 125.933594 1694611779.4123
MEM 125.933594 1694611779.5139
MEM 125.933594 1694611779.6152
MEM 125.933594 1694611779.7157
MEM 125.933594 1694611779.8165
MEM 125.933594 1694611779.9169
MEM 125.933594 1694611780.0182
MEM 125.933594 1694611780.1193
MEM 125.933594 1694611780.2204
MEM 125.933594 1694611780.3222
MEM 125.933594 1694611780.4232
MEM 125.933594 1694611780.5248
MEM 125.933594 1694611780.6266
MEM 125.933594 1694611780.7274
MEM 125.933594 1694611780.8289
MEM 125.933594 1694611780.9302
MEM 125.933594 1694611781.0315
MEM 125.933594 1694611781.1320
MEM 125.933594 1694611781.2332
MEM 125.933594 1694611781.3350
MEM 125.933594 1694611781.4361
MEM 125.933594 1694611781.5369
MEM 125.933594 1694611781.6383
MEM 125.933594 1694611781.7386
MEM 125.933594 1694611781.8430
MEM 125.933594 1694611781.9437
MEM 125.933594 1694611782.0443
MEM 125.933594 1694611782.1452
MEM 125.933594 1694611782.2458
MEM 125.933594 1694611782.3473
MEM 125.933594 1694611782.4488
MEM 125.933594 1694611782.5506
MEM 125.933594 1694611782.6516
MEM 125.933594 1694611782.7525
MEM 125.933594 1694611782.8541
MEM 125.933594 1694611782.9558
MEM 125.933594 1694611783.0719
MEM 125.933594 1694611783.1734
MEM 125.933594 1694611783.2742
MEM 125.933594 1694611783.3770
MEM 125.933594 1694611783.4785
MEM 125.933594 1694611783.5793
MEM 125.933594 1694611783.6804
MEM 125.933594 1694611783.7822
MEM 125.933594 1694611783.8842
MEM 125.933594 1694611783.9851
MEM 125.933594 1694611784.0861
MEM 125.933594 1694611784.1874
MEM 125.933594 1694611784.2882
MEM 125.933594 1694611784.3899
MEM 125.933594 1694611784.4907
MEM 125.933594 1694611784.5918
MEM 125.933594 1694611784.6930
MEM 125.933594 1694611784.7940
MEM 125.933594 1694611784.8951
MEM 125.933594 1694611784.9959
MEM 125.933594 1694611785.0973
MEM 125.933594 1694611785.1984
MEM 125.933594 1694611785.2998
MEM 125.933594 1694611785.4007
MEM 125.933594 1694611785.5022
MEM 125.933594 1694611785.6036
MEM 125.933594 1694611785.7049
MEM 125.933594 1694611785.8071
MEM 125.933594 1694611785.9081
MEM 125.933594 1694611786.0090
MEM 125.933594 1694611786.1096
MEM 125.933594 1694611786.2103
MEM 125.933594 1694611786.3115
MEM 125.933594 1694611786.4120
MEM 125.933594 1694611786.5142
MEM 125.933594 1694611786.6146
MEM 125.933594 1694611786.7151
MEM 125.933594 1694611786.8159
MEM 125.933594 1694611786.9168
MEM 125.933594 1694611787.0184
MEM 125.933594 1694611787.1207
MEM 125.933594 1694611787.2213
MEM 125.933594 1694611787.3228
MEM 125.933594 1694611787.4240
MEM 125.933594 1694611787.5252
MEM 125.933594 1694611787.6264
MEM 125.933594 1694611787.7275
MEM 125.933594 1694611787.8283
MEM 125.933594 1694611787.9296
MEM 125.933594 1694611788.0307
MEM 125.933594 1694611788.1328
MEM 125.933594 1694611788.2335
MEM 125.933594 1694611788.3345
MEM 125.933594 1694611788.4359
MEM 125.933594 1694611788.5371
MEM 125.933594 1694611788.6379
MEM 125.933594 1694611788.7388
MEM 125.933594 1694611788.8400
MEM 125.933594 1694611788.9415
MEM 125.933594 1694611789.0427
MEM 125.933594 1694611789.1437
MEM 125.933594 1694611789.2443
MEM 125.933594 1694611789.3457
MEM 125.933594 1694611789.4468
MEM 125.933594 1694611789.5484
MEM 125.933594 1694611789.6495
MEM 125.933594 1694611789.7505
MEM 125.933594 1694611789.8520
MEM 125.933594 1694611789.9535
MEM 125.933594 1694611790.0541
MEM 125.933594 1694611790.1545
MEM 125.933594 1694611790.2568
MEM 125.933594 1694611790.3581
MEM 125.933594 1694611790.4588
MEM 125.933594 1694611790.5600
MEM 125.933594 1694611790.6617
MEM 125.933594 1694611790.7629
MEM 125.933594 1694611790.8646
MEM 125.933594 1694611790.9657
MEM 125.933594 1694611791.0664
MEM 125.933594 1694611791.1684
MEM 125.933594 1694611791.2689
MEM 125.933594 1694611791.3704
MEM 125.933594 1694611791.4726
MEM 125.933594 1694611791.5748
MEM 125.933594 1694611791.6754
MEM 125.933594 1694611791.7761
MEM 125.933594 1694611791.8770
MEM 125.933594 1694611791.9775
MEM 125.933594 1694611792.0783
MEM 125.933594 1694611792.1788
MEM 125.933594 1694611792.2796
MEM 125.933594 1694611792.3806
MEM 125.933594 1694611792.4822
MEM 125.933594 1694611792.5830
MEM 125.933594 1694611792.6845
MEM 125.933594 1694611792.7860
MEM 125.933594 1694611792.8865
MEM 125.933594 1694611792.9873
MEM 125.933594 1694611793.0885
MEM 125.933594 1694611793.1899
MEM 125.933594 1694611793.2914
MEM 125.933594 1694611793.3925
